outdegree
Function,Total_Syscalls,Total_Syscalls_Success,Total_Syscalls_Failed,Min,Max,Average,Stdev,Failure,Context,Increase,Importance
syscall_brk,1194,1194,0,0.0,0.1809999994293321,0.02084589609915275,0.028159163882557275,0.0,0.0,0.0,0.0
brk,398,398,0,0.0,0.017000002117129043,0.0013216080031581176,0.0009128722034306342,0.0,0.0,0.0,0.0
[unknown],5213,5213,0,0.0,6.594999998924322,0.038102052516479974,0.13611483749488795,0.0,0.0,0.0,0.0
syscall_arch_prctl,796,796,0,0.0,0.14999999984866008,0.0014547738225413392,0.0056800845669203615,0.0,0.0,0.0,0.0
_dl_sysdep_start,2786,2786,0,0.0,6.594999998924322,0.03550969126935325,0.13037754075449903,0.0,0.0,0.0,0.0
syscall_access,398,398,0,0.004999998054699972,0.06399999983841553,0.00937437177878505,0.004999047447705069,0.0,0.0,0.0,0.0
access,398,398,0,0.004999998054699972,0.06399999983841553,0.00937437177878505,0.004999047447705069,0.0,0.0,0.0,0.0
syscall_openat,1199,1199,0,0.003999997716164216,0.3550000001268927,0.009796497090111834,0.016808514695870764,0.0,0.0,0.0,0.0
__GI___open64_nocancel,796,796,0,0.003999997716164216,0.2550000026531052,0.008958542697948003,0.013415640608899599,0.0,0.0,0.0,0.0
_dl_map_object,4378,4378,0,0.0009999967005569488,0.3949999991164077,0.003653266353544053,0.010083653502751571,0.0,0.0,0.0,0.0
syscall_newfstat,1595,1595,0,0.0009999967005569488,0.050000002374872565,0.0027523511120404313,0.0026081595757562847,0.0,0.0,0.0,0.0
_fxstat,796,796,0,0.0009999967005569488,0.050000002374872565,0.0026633166344619905,0.0026081075942258067,0.0,0.0,0.0,0.0
syscall_mmap,3183,3183,0,0.03899999865097925,1.4609999998356216,0.0672931196824387,0.04985605783941183,0.0,0.0,0.0,0.0
mmap64,2786,2786,0,0.03899999865097925,1.4609999998356216,0.06859906674225244,0.05288640030069216,0.0,0.0,0.0,0.0
syscall_close,1992,1992,0,0.0009999967005569488,0.060999998822808266,0.0020803212844539925,0.001968249836950468,0.0,0.0,0.0,0.0
__GI___close_nocancel,796,796,0,0.0009999967005569488,0.035000000934815034,0.0023266331719520653,0.0017320782405864166,0.0,0.0,0.0,0.0
syscall_read,385606,385599,7,0.0,16.287000002193963,0.002846768463518565,0.06737316274732669,0.0,0.0,0.0,0.0
__GI___read_nocancel,398,398,0,0.0019999970390927047,0.05999999848427251,0.0040728642836174505,0.004468441461455697,0.0,0.0,0.0,0.0
syscall_pread64,2388,2388,0,0.0009999967005569488,0.3949999991164077,0.0022634003684748553,0.010471084921418067,0.0,0.0,0.0,0.0
__GI___pread64_nocancel,2388,2388,0,0.0009999967005569488,0.3949999991164077,0.0022634003684748553,0.010471084921418067,0.0,0.0,0.0,0.0
_dl_map_object_from_fd,796,796,0,0.0009999967005569488,0.3189999988535419,0.002167085466082161,0.011311750274309045,0.0,0.0,0.0,0.0
init_tls,398,398,0,0.0,0.14999999984866008,0.0017487436981816734,0.00795783508561427,0.0,0.0,0.0,0.0
syscall_mprotect,1194,1194,0,0.045999997382750735,6.594999998924322,0.0707864321272885,0.19106815933735452,0.0,0.0,0.0,0.0
mprotect,1194,1194,0,0.045999997382750735,6.594999998924322,0.0707864321272885,0.19106815933735452,0.0,0.0,0.0,0.0
dl_main,1194,1194,0,0.045999997382750735,6.594999998924322,0.0707864321272885,0.19106815933735452,0.0,0.0,0.0,0.0
